"race_state","year","state","mean_spread","sd_spread","mean_spread_act","n_polls","ci_lower","ci_upper","outside_ci"
"2010_House-G_SD",2010,"SD",1.2,3.56370593624109,2.2,5,-1.92372598029981,4.32372598029981,0
"2010_House-G_TN",2010,"TN",10.3333333333333,5.03322295684717,19.6333333333333,3,4.63770538044019,16.0289612862265,1
"2010_House-G_TX",2010,"TX",10,2.34520787991171,12.24,5,7.9443346575865,12.0556653424135,1
"2010_House-G_UT",2010,"UT",20.2857142857143,35.2690340370241,25.1714285714286,7,-5.84195176644838,46.4133803378769,0
"2010_House-G_VA",2010,"VA",2,5.5805785670356,5.85,8,-1.86714364874128,5.86714364874128,0
"2010_House-G_WA",2010,"WA",-1.65,9.10466913182461,-3.33333333333333,6,-8.93525259228075,5.63525259228074,0
"2010_House-G_WI",2010,"WI",3.66666666666667,3.05505046330389,8.96666666666666,3,0.209551620208934,7.1237817131244,1
"2010_Sen-GS_MA",2010,"MA",0.933333333333333,9.36152205776898,4.8,15,-3.80425048591931,5.67091715258597,0
"2010_Sen-GS_NY",2010,"NY",-21.1666666666667,4.23906793643331,-27.84,12,-23.5651451405953,-18.768188192738,1
"2010_Sen-G_AR",2010,"AR",18.8,2.86356421265527,20.95,5,16.2899752989263,21.3100247010737,0
"2010_Sen-G_CA",2010,"CA",-3.46153846153846,3.88052335883467,-10.01,26,-4.95316361869674,-1.96991330438018,1
"2010_Sen-G_CO",2010,"CO",2.25,2.14476105895272,-1.68,16,1.19906708111317,3.30093291888683,1
"2010_Sen-G_CT",2010,"CT",-8.76923076923077,4.30414231010558,-11.94,13,-11.1089891815477,-6.42947235691383,1
"2010_Sen-G_DE",2010,"DE",-11.2857142857143,6.89720440261332,-16.58,7,-16.3952348111648,-6.17619376026378,1
"2010_Sen-G_GA",2010,"GA",24.5,3.87298334620742,19.31,4,20.7044763207167,28.2955236792833,1
"2010_Sen-G_IL",2010,"IL",1.27777777777778,3.04487139795187,1.59,18,-0.128881041599605,2.68443659715516,0
"2010_Sen-G_IN",2010,"IN",19.3333333333333,2.3094010767585,14.58,3,16.72,21.9466666666667,1
"2010_Sen-G_KY",2010,"KY",8.15384615384615,4.35595672319629,11.47,13,5.78592110572268,10.5217712019696,1
